Event RA Dec t0 tE Ibl I0 Field Layer
OGLE-BLG501.05.98685 267.7620416666667 -29.64152777777777 2456711.469 11.635 NULL NULL EUC_LE1_VIS-67070-1-C_20250323T134016.000000Z_01_01_01.00.fits.gz 73
OGLE-BLG501.06.110587 267.58679166666667 -29.787916666666668 2456756.613 115.242 NULL NULL EUC_LE1_VIS-67070-1-C_20250323T132336.000000Z_01_01_01.00.fits.gz 91
OGLE-BLG501.06.127965 267.5643333333333 -29.62372222222222 2456467.38 4.054 19.732912 20.566617 EUC_LE1_VIS-67070-1-C_20250323T133156.000000Z_01_01_01.00.fits.gz 79
OGLE-BLG501.06.41508 267.6682916666667 -29.55697222222222 2455875.359 34.843 19.499052 20.746404 EUC_LE1_VIS-67070-1-C_20250323T160051.000000Z_01_01_01.00.fits.gz 138
OGLE-BLG501.06.60348 267.6429583333333 -29.690277777777776 2456822.9 4.863 17.254566 20.958281 EUC_LE1_VIS-67070-1-C_20250323T131516.000000Z_01_01_01.00.fits.gz 80
OGLE-BLG501.06.63977 267.650875 -29.721666666666668 2456218.699 33.601 19.31589 20.270769 EUC_LE1_VIS-67070-1-C_20250323T134016.000000Z_01_01_01.00.fits.gz 92
OGLE-BLG501.06.71011 267.64204166666667 -29.768111111111114 2455979.061 46.838 17.096845 17.534904 EUC_LE1_VIS-67070-1-C_20250323T132336.000000Z_01_01_01.00.fits.gz 92
OGLE-BLG501.06.76267 267.6322083333333 -29.82811111111111 2455492.84 5.938 17.18357 18.125447 EUC_LE1_VIS-67070-1-C_20250323T132336.000000Z_01_01_01.00.fits.gz 89
OGLE-BLG501.07.1984 267.5065 -29.55483333333333 2457162.501 117.497 20.199457 20.574374 EUC_LE1_VIS-67070-1-C_20250323T153551.000000Z_01_01_01.00.fits.gz 130
OGLE-BLG501.07.27101 267.449125 -29.54538888888889 2456419.143 10.153 19.869756 20.354306 EUC_LE1_VIS-67070-1-C_20250323T141551.000000Z_01_01_01.00.fits.gz 71
OGLE-BLG501.07.52013 267.4127916666667 -29.547666666666668 2455610.295 47.616 19.04559 19.964447 EUC_LE1_VIS-67070-1-C_20250323T140731.000000Z_01_01_01.00.fits.gz 70
OGLE-BLG501.07.53328 267.4078333333333 -29.56430555555556 2455686.785 48.377 NULL NULL EUC_LE1_VIS-67070-1-C_20250323T140731.000000Z_01_01_01.00.fits.gz 70
OGLE-BLG501.07.70018 267.4127916666667 -29.75472222222222 2457147.995 4.489 19.627145 19.761014 EUC_LE1_VIS-67070-1-C_20250323T112956.000000Z_01_01_01.00.fits.gz 82
OGLE-BLG501.07.7149 267.49629166666665 -29.610694444444444 2455447.012 25.877 18.268768 18.755016 EUC_LE1_VIS-67070-1-C_20250323T153551.000000Z_01_01_01.00.fits.gz 143
OGLE-BLG501.07.90634 267.3707083333333 -29.72577777777778 2456912.767 8.451 20.278551 21.993883 EUC_LE1_VIS-67070-1-C_20250323T115516.000000Z_01_01_01.00.fits.gz 22
OGLE-BLG501.08.108668 268.67129166666666 -29.87680555555556 2457068.664 16.057 19.116653 20.621803 EUC_LE1_VIS-67070-1-C_20250324T015044.000000Z_01_01_01.00.fits.gz 2
OGLE-BLG501.08.121850 268.6605416666667 -29.96119444444444 2456544.314 25.848 18.792145 18.926014 EUC_LE1_VIS-67070-1-C_20250324T015904.000000Z_01_01_01.00.fits.gz 13
OGLE-BLG501.08.174728 268.6360833333333 -29.89733333333333 2455704.516 35.71 19.181094 19.980256 EUC_LE1_VIS-67070-1-C_20250324T014224.000000Z_01_01_01.00.fits.gz 1
OGLE-BLG501.08.191275 268.6069583333333 -29.984166666666667 2455622.074 29.888 19.3349 19.476163 EUC_LE1_VIS-67070-1-C_20250324T013404.000000Z_01_01_01.00.fits.gz 4
OGLE-BLG501.08.69455 268.714 -29.973666666666663 2456359.112 6.657 18.166615 18.851836 EUC_LE1_VIS-67070-1-C_20250324T015904.000000Z_01_01_01.00.fits.gz 14
OGLE-BLG501.09.4244 268.5797083333333 -29.888027777777776 2456558.287 4.72 NULL NULL EUC_LE1_VIS-67070-1-C_20250324T010648.000000Z_01_01_01.00.fits.gz 88
OGLE-BLG501.09.59671 268.52275 -29.891388888888887 2456816.425 3.051 18.462801 18.622774 EUC_LE1_VIS-67070-1-C_20250324T012328.000000Z_01_01_01.00.fits.gz 86
OGLE-BLG501.09.59970 268.5352916666667 -29.89675 2455714.245 33.815 18.501718 20.620997 EUC_LE1_VIS-67070-1-C_20250324T012328.000000Z_01_01_01.00.fits.gz 86
OGLE-BLG501.09.62465 268.5455 -29.89875 2456437.773 64.103 19.089861 19.646294 EUC_LE1_VIS-67070-1-C_20250324T012328.000000Z_01_01_01.00.fits.gz 86
OGLE-BLG501.09.74754 268.532375 -29.98375 2456783.6 3.031 17.844765 19.207653 EUC_LE1_VIS-67070-1-C_20250324T011508.000000Z_01_01_01.00.fits.gz 99
OGLE-BLG501.10.12432 268.42245833333334 -29.956027777777777 2455416.204 20.009 NULL NULL EUC_LE1_VIS-67070-1-C_20250324T010648.000000Z_01_01_01.00.fits.gz 89
OGLE-BLG501.10.124354 268.33191666666664 -29.90052777777778 2456848.138 16.917 NULL NULL EUC_LE1_VIS-67070-1-C_20250324T010648.000000Z_01_01_01.00.fits.gz 96
